10_freq,10_peak,note_played
"[80, 128, 32, 110, 16, 176, 62, 97, 95, 145]","[1.0, 0.62608147179642, 0.3849092019630439, 0.3027390830628303, 0.19894363506159654, 0.1954401291800105, 0.13362766647870633, 0.03466414974900377, 0.03455159242150117, 0.031614080446427696]",B1
"[80, 128, 32, 111, 63, 16, 176, 159, 65, 117]","[1.0, 0.6958915498612107, 0.4228030491242246, 0.3036055954166206, 0.26383602535935397, 0.2021103964486941, 0.14985794726117366, 0.09232065863185787, 0.06024199571581055, 0.02893092890220587]",B1
"[80, 128, 32, 97, 49, 16, 176, 89, 113, 145]","[1.0, 0.6710602657732675, 0.4015697866331389, 0.3186050649545851, 0.21611238305058134, 0.19215981882222655, 0.17089972001031484, 0.07973938028792589, 0.06857475253473673, 0.06559486222139012]",B1
"[80, 128, 32, 98, 176, 16, 50, 145, 194, 86]","[1.0, 0.6838057745154085, 0.3727134993850139, 0.26542171849344526, 0.2175071476644876, 0.2018730203475524, 0.08234515982837406, 0.04358158164157034, 0.0387339755466864, 0.03449114317918139]",B1
"[80, 128, 32, 16, 176, 98, 86, 50, 160, 136]","[1.0, 0.6723621190815835, 0.36190487758081674, 0.22261108495818374, 0.21057074993818534, 0.17981946843998803, 0.05041391190246612, 0.04061809584529224, 0.0400702873495766, 0.0373228457257725]",B1
"[80, 128, 32, 16, 64, 160, 97, 112, 145, 49]","[1.0, 0.6252646746169022, 0.3438905357070924, 0.28248759229518555, 0.2788708876127399, 0.2641687059819691, 0.17607696874024295, 0.0852857266600222, 0.07113348443454055, 0.06423408529516834]",B1
"[64, 112, 16, 32, 80, 160, 129, 97, 177, 49]","[1.0, 0.6699365048119039, 0.2840460240093251, 0.2218679870633678, 0.17532158107411897, 0.16409837888333983, 0.09542752082818402, 0.06937332680520951, 0.054153847584058286, 0.049569813136034924]",B1
"[64, 112, 16, 129, 119, 82, 74, 32, 49, 97]","[1.0, 0.48187326199108044, 0.28688924606015725, 0.2740617363844763, 0.151889359583234, 0.14104718035535696, 0.11862019614970608, 0.09726524270958407, 0.07757931698520776, 0.06315012793626296]",B1
"[64, 96, 16, 144, 112, 161, 81, 73, 153, 33]","[1.0, 0.6668840088115876, 0.3352236467030368, 0.29762939151846124, 0.19466081762014978, 0.12909022432585576, 0.12824504040916787, 0.07518188740927151, 0.06033968503435865, 0.05372889653470567]",B1
"[64, 96, 16, 144, 176, 36, 79, 116, 94, 111]","[1.0, 0.8744607156196293, 0.36277677808707964, 0.25960299149995936, 0.1496542363862505, 0.0821535584089617, 0.039551287859692204, 0.03239728827106016, 0.031846100238724334, 0.031131419815993277]",B1
"[64, 96, 16, 144, 176, 45, 67, 112, 82, 79]","[1.0, 0.7815469343523777, 0.3298565152267798, 0.3081301473220128, 0.16165133737734336, 0.04868668420662058, 0.04408465908329378, 0.03622766828296158, 0.03202621511859043, 0.02692670192018862]",B1
"[64, 96, 16, 144, 176, 73, 34, 81, 127, 129]","[1.0, 0.9391383801847427, 0.35980402147074614, 0.2501945957656492, 0.16933473781691788, 0.08857486078823298, 0.08497068212238248, 0.07939310804734875, 0.0775492419072642, 0.06528924810836288]",B1
"[96, 64, 113, 16, 107, 33, 81, 128, 145, 70]","[1.0, 0.6586648373569849, 0.49543892994315414, 0.3823528406723731, 0.1713445547718182, 0.1694425443087193, 0.144955442881603, 0.11840283268396345, 0.11248224573986282, 0.08323336645585687]",B1
"[96, 128, 64, 16, 160, 33, 177, 145, 48, 133]","[1.0, 0.8671685516670494, 0.6090305692937125, 0.4508189456782955, 0.30398114707738816, 0.05819511334113101, 0.0469434726039595, 0.0447144575493288, 0.04125967607904792, 0.03568333578057743]",B1
"[96, 128, 64, 16, 160, 84, 79, 110, 256, 117]","[1.0, 0.8495722369098799, 0.628044331696106, 0.46651999321811993, 0.2865440981982062, 0.04177767678433882, 0.036183408408075865, 0.034009477309572655, 0.03271120090690837, 0.023763530934358616]",B1
"[96, 128, 64, 16, 160, 78, 81, 110, 83, 113]","[1.0, 0.8329923172954656, 0.6376442485487324, 0.4576295997983396, 0.2833072688066446, 0.06541963424736749, 0.06372803604254633, 0.05269441851631387, 0.035280245775516174, 0.03483358000443159]",B1
"[96, 128, 64, 16, 160, 33, 111, 122, 143, 145]","[1.0, 0.8090526433426316, 0.6384258442833763, 0.4553699946601137, 0.2750287469340776, 0.08563705557839486, 0.06572446718501083, 0.0597408803778308, 0.052221844940925924, 0.0435352251081344]",B1
"[96, 64, 16, 128, 47, 79, 87, 51, 111, 159]","[1.0, 0.8153257930411304, 0.4351620400064438, 0.3695161711201691, 0.24940742801099772, 0.19486891120535435, 0.16043413388916813, 0.14509168556764007, 0.12921255252528727, 0.042317268070381005]",B1
"[64, 96, 16, 144, 112, 53, 176, 79, 47, 133]","[1.0, 0.5568660279968562, 0.32203570012729804, 0.27270974330652054, 0.12583522400437896, 0.09208358814382363, 0.09149712251127982, 0.07600180409372616, 0.06316095718115053, 0.060597719343968126]",B1
"[64, 112, 16, 95, 55, 144, 47, 127, 32, 102]","[1.0, 0.4513201994627078, 0.31357154685716265, 0.2273483872359376, 0.21334116759350805, 0.18146870159475695, 0.16417237597677395, 0.13166995324017683, 0.1259730674012591, 0.1187491586890594]",B1
"[111, 32, 63, 143, 16, 80, 47, 95, 68, 159]","[1.0, 0.7247527083013013, 0.6493490499301672, 0.36942913289996165, 0.33697879214008664, 0.32677649884551363, 0.2899447959621807, 0.16768640067123916, 0.12680587741673635, 0.07621023503767514]",B1
"[127, 32, 79, 63, 96, 48, 84, 16, 238, 112]","[1.0, 0.9484712115643555, 0.7856197900249061, 0.7371129464583742, 0.3767867585879616, 0.2571540702568039, 0.1930687529443604, 0.15231681215986315, 0.13504960277460082, 0.07793300563359225]",B1
"[48, 95, 32, 128, 79, 112, 97, 159, 143, 175]","[1.0, 0.7847027504124606, 0.5510275225810791, 0.4359121064271955, 0.40466747908678247, 0.3557468317736666, 0.20555104691937193, 0.10660143863395509, 0.04438262786454191, 0.043376895648151746]",B1
"[48, 64, 111, 32, 95, 144, 128, 239, 81, 15]","[1.0, 0.964600233984449, 0.7078942156132095, 0.3697311237640813, 0.3339530926044369, 0.3289754566857776, 0.19536529467145253, 0.06775616683465772, 0.05167055917272743, 0.03011935240903151]",B1
"[64, 80, 48, 96, 127, 143, 31, 111, 207, 15]","[1.0, 0.8271602747788771, 0.5851130156706477, 0.34235870897439896, 0.25202477997678396, 0.21539801228985708, 0.1890537217534958, 0.057350807386467736, 0.057167434370875174, 0.05197733715034913]",B1
"[80, 96, 64, 31, 112, 47, 159, 15, 128, 175]","[1.0, 0.7011732751322934, 0.6240744414861488, 0.6221349631939029, 0.6094015754918252, 0.33356961092816956, 0.22159942011865352, 0.09093880732526288, 0.08675949059698536, 0.08664699434647401]",B1
"[112, 64, 160, 127, 16, 208, 79, 97, 142, 50]","[1.0, 0.6644896233278998, 0.383701434937662, 0.36875169950072273, 0.33609012153966933, 0.2713452296105654, 0.23297644212472307, 0.2316907560269492, 0.21962998451863935, 0.20446267443388005]",B1
"[112, 64, 160, 208, 129, 16, 177, 126, 256, 223]","[1.0, 0.5133841337333097, 0.3729556189502331, 0.2945671398541312, 0.17181580210125674, 0.16735040693775524, 0.15171633143634503, 0.13977210878423157, 0.12871707495150575, 0.11932696398487314]",B1
"[95, 143, 110, 208, 112, 47, 64, 191, 129, 174]","[1.0, 0.6723757652248681, 0.37114932972746223, 0.3477191408778778, 0.3270816862873988, 0.26573294533599195, 0.23830629262340358, 0.19972322376916382, 0.19847360197411654, 0.19171509079910062]",B1
"[111, 175, 127, 80, 32, 255, 63, 96, 221, 144]","[1.0, 0.7278676223600641, 0.46843964402300464, 0.39364477224048994, 0.3822030618750913, 0.28600175517818527, 0.2778016666321286, 0.26567793416041646, 0.19544274956068336, 0.16245380378164914]",B1
"[96, 127, 143, 223, 32, 79, 48, 112, 160, 207]","[1.0, 0.757956365088268, 0.5418304227547984, 0.5356463765911532, 0.41819148976623477, 0.38384094646880434, 0.3505605137321634, 0.33064343432422927, 0.2404907810554135, 0.20450156619862916]",B1
"[112, 192, 48, 32, 96, 142, 257, 128, 177, 159]","[1.0, 0.5279926744737368, 0.4056465559589214, 0.2808176988572551, 0.2774256379272539, 0.2317130330852263, 0.1949208039699353, 0.19205983419096148, 0.19074084834147798, 0.1625219558878873]",B1
"[112, 192, 48, 96, 32, 176, 129, 65, 145, 225]","[1.0, 0.5578348951132284, 0.37923623948421775, 0.32717934217953315, 0.28310462957545524, 0.26486952107744705, 0.21210659603116963, 0.19610384901458344, 0.192529458857692, 0.167022746733984]",B1
"[112, 176, 96, 48, 32, 65, 241, 130, 192, 210]","[1.0, 0.6363742350953676, 0.45313756494488105, 0.37500718165038877, 0.32073872842117634, 0.26260551924352654, 0.2362742414058014, 0.23144005864935996, 0.22534687763817732, 0.15847849162423344]",B1
"[96, 176, 112, 129, 32, 256, 48, 65, 160, 209]","[1.0, 0.7584939127099221, 0.7017809834683095, 0.5502697663982759, 0.3788750587463206, 0.33578248451915493, 0.31077509919389434, 0.27066518952917296, 0.266592692360343, 0.2202517783115173]",B1
"[112, 96, 176, 143, 32, 48, 79, 256, 160, 223]","[1.0, 0.7031073962693994, 0.6669946431167484, 0.41243162266172007, 0.3821397951230758, 0.3530617398098514, 0.28360671852730485, 0.259365329450067, 0.1821766421720788, 0.15546653491859733]",B1
"[112, 176, 96, 48, 32, 79, 272, 143, 192, 239]","[1.0, 0.6313339877777139, 0.5246251250008207, 0.3726526239250883, 0.34590514871310457, 0.27979816587945905, 0.2480702107093026, 0.20320016818875786, 0.1631588686750355, 0.12289431411004753]",B1
"[96, 112, 176, 130, 32, 48, 225, 145, 65, 120]","[1.0, 0.7217318173202251, 0.6547462686972954, 0.42197559382362765, 0.41076333355965117, 0.35646516285411894, 0.34931112924769187, 0.2597358519164608, 0.2533428080966522, 0.229628961496951]",B1
"[129, 96, 193, 113, 32, 273, 160, 65, 177, 103]","[1.0, 0.9950568743380801, 0.6109383174384063, 0.5996872602269551, 0.438592285683929, 0.35750919702269157, 0.24599973773240105, 0.22169689174737767, 0.21365842894550746, 0.19294981156596794]",B1
"[113, 80, 161, 225, 144, 97, 49, 32, 128, 289]","[1.0, 0.7662727596729687, 0.7159324549091882, 0.5709912957921186, 0.4093184199387733, 0.3949543291981305, 0.32097770021613115, 0.2909348774442911, 0.2031325848269725, 0.20093560762397758]",B1
"[97, 145, 193, 49, 226, 16, 274, 80, 128, 64]","[1.0, 0.9806172084390353, 0.575308785311423, 0.528472097624412, 0.2729387590768912, 0.21016770501093107, 0.1762087357935943, 0.16045310429851153, 0.1451545073593607, 0.14201818446083236]",B1
"[161, 129, 96, 64, 209, 16, 81, 274, 226, 33]","[1.0, 0.9375589893321263, 0.673377992159192, 0.6173134635916439, 0.4500067057975681, 0.30405883587973453, 0.27781058388319174, 0.24513601117899403, 0.23724165670364594, 0.22669838462141625]",B1
"[145, 113, 225, 48, 177, 16, 128, 96, 322, 103]","[1.0, 0.832558525181464, 0.5810377013095979, 0.4499005884847788, 0.3951706339714755, 0.26555328686786167, 0.2444132033573693, 0.22867181558148827, 0.17961999534589645, 0.15757758388902215]",B1
"[48, 112, 80, 129, 241, 209, 16, 161, 97, 123]","[1.0, 0.9507941913621323, 0.6311115636076122, 0.6246058573086237, 0.4820216073127168, 0.39154618197291086, 0.3331219325707426, 0.32473950473605545, 0.3084051858441989, 0.2176453530957061]",B1
"[48, 112, 129, 80, 193, 225, 161, 121, 97, 16]","[1.0, 0.9778244105188337, 0.9732993692435561, 0.7022702499583173, 0.6981997616877671, 0.5414319207075905, 0.539444372709802, 0.3288847984907728, 0.32878340992007576, 0.28815589632383637]",B1
"[145, 113, 177, 48, 209, 96, 226, 258, 16, 105]","[1.0, 0.7996846801616391, 0.6051887856528105, 0.4986057623574407, 0.39288028161040317, 0.32511791832168524, 0.2985581290541811, 0.2254265829355752, 0.20238831073959282, 0.13023446858180354]",B1
"[161, 129, 81, 64, 258, 226, 73, 16, 112, 290]","[1.0, 0.8440923166548211, 0.6061465401430766, 0.5085027096891491, 0.45573315814976045, 0.2892453196186827, 0.21707621098314034, 0.2115989355556026, 0.18666090709438443, 0.1815230522544849]",B1
"[97, 145, 49, 210, 114, 193, 258, 80, 32, 88]","[1.0, 0.76326953901091, 0.46322205064288147, 0.38647519537182334, 0.3648225863699305, 0.2864701395271964, 0.243695544607499, 0.2092181368866083, 0.20617788022902978, 0.15001531309793542]",B1
"[113, 177, 210, 65, 129, 146, 258, 32, 49, 96]","[1.0, 0.6662563933362209, 0.5108548734665617, 0.4184819040192075, 0.4015096425677968, 0.38259405052312995, 0.3656817674274895, 0.3333422187206113, 0.2893539193257396, 0.25904457273534476]",B1
"[161, 97, 114, 194, 48, 258, 81, 32, 145, 177]","[1.0, 0.7297022979388437, 0.6957888386592336, 0.5801371569834091, 0.5709722685132601, 0.4835727459264404, 0.4562316507109993, 0.34737427793739134, 0.3236803621159111, 0.31100994579759095]",B1
"[113, 48, 209, 129, 64, 97, 176, 225, 80, 258]","[1.0, 0.7252732455707507, 0.64861792537538, 0.6186383587307699, 0.3848840411126229, 0.30130281650264434, 0.3009619774569775, 0.22950510186747602, 0.2145248314612195, 0.18857214042228934]",B1
"[177, 96, 80, 112, 145, 64, 226, 161, 48, 210]","[1.0, 0.6943194903068038, 0.5669684113486866, 0.5571337299379706, 0.5069720868420756, 0.45735957476156497, 0.41881710070643735, 0.4061651156073414, 0.366426229147471, 0.2933920364099278]",B1
"[225, 144, 128, 112, 160, 176, 17, 33, 180, 241]","[1.0, 0.9105222250038338, 0.8158674395267501, 0.7102573008650364, 0.6388936180767069, 0.5517769230063465, 0.3621355213604413, 0.3596986069503164, 0.32864606433494575, 0.30007205863982284]",B1
"[113, 129, 97, 145, 177, 81, 49, 193, 161, 65]","[1.0, 0.6082181670048487, 0.5576753709694523, 0.47413828443064965, 0.41460551341018065, 0.406154923657746, 0.38242746378610754, 0.38051720749130136, 0.32242877920506324, 0.31595536889643766]",B1
"[144, 112, 128, 258, 160, 96, 176, 179, 195, 211]","[1.0, 0.9949617458114337, 0.9366546209603728, 0.930328088824313, 0.759017817281233, 0.6954728102391595, 0.5705108677713332, 0.5605072182438738, 0.47357462369570463, 0.4309171260607991]",B1
"[145, 177, 96, 161, 80, 258, 64, 112, 193, 129]","[1.0, 0.5329251498435451, 0.5229330800979397, 0.41072222529558144, 0.4091786091715322, 0.37678418025989696, 0.3521503027007223, 0.32515225614383086, 0.3036989202054552, 0.2849609768502262]",B1
"[113, 209, 97, 48, 64, 193, 225, 146, 274, 81]","[1.0, 0.7315016401796609, 0.7240725006408005, 0.5703734732862674, 0.44023110072234944, 0.37279670995981506, 0.3423330640037495, 0.32254593927051534, 0.2723228941163206, 0.21685851418439842]",B1
